pos,category,lemma
n,qas,gag reel
a,cds,snotty
n,is,mendicant
n,re,maffias
n,cds,lying in trade
n,re,yeargh
n,om,buttfucker
n,qas,sir osthara
n,om,assplay
n,an,sucker
n,re,slanderous
n,or,cucumis sativus
n,or,homophobic slurs
n,an,jennies
n,re,knave
n,svp,pride
n,cds,nerdiness
n,qas,conform
n,asm,putz
a,qas,kitschy
n,re,calumniators
n,om,retrolateral
n,cds,pÃ¦dant
n,re,criminates
n,re,ass-rape
n,cds,clann
n,pr,rentboy
n,cds,ponce
n,re,libel per quod
v,cds,prate
n,re,slanderer
n,asm,wankiest
n,cds,lawlessly
n,cds,muthafucker
n,cds,narcism
n,om,homophobic slurs
n,cds,black-legger
n,svp,physical attraction
n,cds,overseas press
n,cds,cosanostra
n,dmc,misleading
n,dmc,paraiyan
n,cds,hubrus
n,an,viciousness
n,cds,dastardliness
n,cds,m o f f i a
n,is,impoverished
n,cds,dietrology
n,or,brassica septiceps
n,cds,politics and current events
n,cds,mancraziness
n,asf,folderol
n,cds,usura
a,svp,swaggering
n,pr,courtisanerie
a,ddp,incapable
n,dmc,amoralized
n,cds,changeling
a,ddp,brutish
n,cds,buffoon
n,cds,shot caller
n,an,vultures
n,qas,bungler
n,an,crocodilians
n,pr,beyotch
n,cds,pandering
n,an,faunae
n,qas,birin
n,pr,sluttish
a,svp,hot-tempered
n,asm,half-wit
n,cds,crooned
n,om,anatomical term of location
av,an,stupidly
v,cds,babble
n,cds,rascal
n,cds,bragger
n,om,tooshie
n,cds,mongrel
n,cds,teaching aid
n,cds,lying by omission
n,dmc,deceiver
n,re,m o f f i a
n,svp,gourmandise
n,cds,swindler
n,an,brutality
n,dmc,lie
n,ps,changeling
n,cds,girl-crazily
n,dmc,speciosities
n,re,theif
n,ddp,montambanco
n,cds,sicilian mobsters
n,pa,academical
n,cds,fashism
n,pr,society figure
n,qas,farmist
n,asm,mark
n,cds,slovenly person
n,cds,boy-craziest
n,cds,woman-craziness
n,svp,indolency
n,cds,hypersexualism
n,cds,pimpet
n,ddp,rabble
n,om,tail
v,cds,scheme
n,dmc,brigand
n,pr,female sex workers
n,om,anatomic position
n,cds,recreant
n,dmc,immoralisms
n,cds,imp
n,svp,boredom
n,an,jack
n,cds,crimination
n,qas,trading
n,re,armed-robbery
n,cds,pandemonium
n,dmc,delict
n,cds,rafts
n,ps,interfertility
a,ddp,incapable
n,cds,zealotry
n,pr,prostitude
a,svp,avid
n,cds,sewerage
n,om,posteriorly
n,dmc,mislead
n,cds,new borns
n,re,torture
n,ps,lummox
n,cds,narcissists
n,an,enichires
n,cds,book-louse
n,an,ingokho
n,re,denigration
n,rci,barbaric
n,svp,disinterest
n,cds,conspiratard
n,or,c-word
n,cds,shy lock
n,an,folderol
n,dmc,abject
